restaurant_name,restaurant_type,rating,num_of_ratings,avg_cost_for_two,online_order,table_booking,cuisines,area,local_address,rating_category
Karigiri Refreshments,Quick Bites,3.7,10,300,No,No,Fast Food,Malleshwaram,Rajajinagar,Average Rated
Karma Foods,Quick Bites,3.2,7,250,No,No,"North Indian, Chinese",Marathahalli,Brookefield,Average Rated
Karma Kaapi,Beverage Shop,4.4,181,250,Yes,No,"Beverages, Tea",Banashankari,Jayanagar,High Rated
Karnataka Bhel House,Quick Bites,3.9,65,100,No,No,Street Food,Jayanagar,Jayanagar,Average Rated
Karnataka Biriyani Paradise,Quick Bites,3.4,10,300,No,No,"North Indian, Biryani",Frazer Town,Frazer Town,Average Rated
Karnataka Biryani Point,Quick Bites,2.8,40,200,Yes,No,Biryani,Malleshwaram,Malleshwaram,Low Rated
Karnataka Briyani Point,Quick Bites,3.2,5,300,No,No,"North Indian, Chinese",Rajajinagar,Peenya,Average Rated
Kartik,"Casual Dining, Bar",3.4,6,700,No,No,"Chinese, North Indian",Kalyan Nagar,Banaswadi,Average Rated
Kartik'S Mithai Shoppe,Quick Bites,3.8,72,150,No,No,"Mithai, Street Food",Whitefield,Whitefield,Average Rated
Kasol Cafe,Quick Bites,2.8,40,400,No,No,"Bengali, Continental",Indiranagar,Indiranagar,Low Rated
Kataria'S Home Food,Quick Bites,3.1,40,250,Yes,No,"North Indian, Chinese",Koramangala 4Th Block,Btm,Average Rated
Kataria'S Pakwan,Quick Bites,3.2,96,400,Yes,No,North Indian,Banashankari,Kumaraswamy Layout,Average Rated
Kathi Junction,Quick Bites,2.8,44,400,Yes,No,"Rolls, North Indian, Mughlai",Electronic City,Electronic City,Low Rated
Katriguppe Donne Biryani,Quick Bites,3.2,4,300,No,No,North Indian,Banashankari,Banashankari,Average Rated
Kaulige Millet Corner,Quick Bites,3.3,4,150,No,No,"Healthy Food, South Indian",Basavanagudi,Basavanagudi,Average Rated
Kava - Fairfield By Marriott,Casual Dining,3.9,284,1500,No,Yes,"North Indian, South Indian, Continental",Bellandur,Bellandur,Average Rated
Kava Bar - Fairfield By Marriott,Bar,3.4,10,1800,No,No,"North Indian, South Indian, Continental",Rajajinagar,Rajajinagar,Average Rated
Kava Kitchen & Bar - Fairfield By Marriott,"Casual Dining, Bar",3.9,69,1200,No,No,"North Indian, South Indian, Continental, American, Asian",Brookefield,Whitefield,Average Rated
Kavali,Quick Bites,4.0,42,300,No,No,"South Indian, Street Food",Banashankari,Banashankari,High Rated
Kavya Sagar,Quick Bites,2.9,10,250,No,No,"South Indian, North Indian",Brigade Road,Richmond Road,Low Rated
Kawaii,Dessert Parlor,3.8,138,500,Yes,No,"Desserts, Ice Cream",Bellandur,Hsr,Average Rated
KazãÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ©,Fine Dining,4.4,858,3000,No,Yes,"Asian, Japanese, Thai",Brigade Road,Lavelle Road,High Rated
KazãÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ©,Fine Dining,4.4,885,3000,No,Yes,"Asian, Japanese, Thai",Lavelle Road,Lavelle Road,High Rated
Kbc - Kebab Biryani Curry,Quick Bites,3.4,38,400,Yes,No,"North Indian, Chinese, Kebab, Biryani",Whitefield,Kr Puram,Average Rated
Kc Das,"Sweet Shop, Quick Bites",3.9,370,200,Yes,No,"Mithai, Street Food",Brigade Road,Mg Road,Average Rated
Kc Das - Elite Sweets,"Sweet Shop, Quick Bites",3.2,29,200,No,No,"Mithai, Street Food",Kalyan Nagar,Kalyan Nagar,Average Rated
Kc Das - Klassic Foods,"Sweet Shop, Quick Bites",3.0,18,200,No,No,"Mithai, Street Food",Jayanagar,Jayanagar,Average Rated
Kc Das - Sai Sweets,"Sweet Shop, Quick Bites",2.9,56,200,No,No,"Mithai, Street Food",Jp Nagar,Jp Nagar,Low Rated
Kc Das - Sweet Bite,"Sweet Shop, Quick Bites",3.5,20,200,No,No,"Mithai, Street Food",Church Street,Frazer Town,Average Rated
Kc Das - Sweet Corner,"Sweet Shop, Quick Bites",2.9,46,200,No,No,"Mithai, Street Food",Hsr,Hsr,Low Rated
Kc Das - Sweet House,"Sweet Shop, Quick Bites",3.0,32,200,No,No,"Mithai, Street Food",New Bel Road,New Bel Road,Average Rated
Kc Das - Sweet Paradise,"Sweet Shop, Quick Bites",2.9,52,200,No,No,"Mithai, Street Food",Indiranagar,Indiranagar,Low Rated
Kc Das - Sweet Sadan,"Sweet Shop, Quick Bites",3.0,36,200,Yes,No,"Mithai, Street Food",Malleshwaram,Malleshwaram,Average Rated
Kc Das - Sweet Sensation,"Sweet Shop, Quick Bites",2.9,31,200,No,No,"Mithai, Street Food",Brookefield,Whitefield,Low Rated
Kc Das - Sweet Spot,"Sweet Shop, Quick Bites",3.6,46,200,No,No,"Mithai, Street Food",Banashankari,Basavanagudi,Average Rated
Kc Das - The Delite Foods,"Sweet Shop, Quick Bites",3.3,29,200,No,No,"Mithai, Street Food","Byresandra,Tavarekere,Madiwala",Btm,Average Rated
Kc Das- Sweet World,"Sweet Shop, Quick Bites",3.3,5,200,Yes,No,"Mithai, Street Food",Bannerghatta Road,Jp Nagar,Average Rated
Kebab Ganj,Delivery,3.4,7,300,No,No,"Kebab, Rolls",Koramangala 4Th Block,Koramangala 6Th Block,Average Rated
Kebabs & Kurries - Itc Gardenia,Fine Dining,4.3,355,3500,No,Yes,"North Indian, Mughlai",Brigade Road,Richmond Road,High Rated
Kebarbiq,Casual Dining,4.0,138,800,No,No,"North Indian, Arabian, Mughlai, Middle Eastern, Grill",Koramangala 4Th Block,Koramangala 7Th Block,High Rated
Kedia'S Fun Food,Quick Bites,4.3,630,200,Yes,No,"North Indian, Street Food, Juices",Banashankari,Jayanagar,High Rated
Keep It Straight Cafe,Cafe,3.9,202,500,Yes,Yes,"Cafe, North Indian, Fast Food","Byresandra,Tavarekere,Madiwala",Hsr,Average Rated
Keerthi Restaurant,Quick Bites,3.3,11,300,Yes,No,"North Indian, Chinese",Bellandur,Sarjapur Road,Average Rated
Keerthi Restaurant Andhra Style,Quick Bites,2.8,40,300,Yes,No,Andhra,Bellandur,Marathahalli,Low Rated
Kenny'S Restaurant,Quick Bites,3.4,38,450,Yes,No,Chinese,Kalyan Nagar,Banaswadi,Average Rated
Kenriy The Restro,Casual Dining,3.3,6,800,No,No,"Goan, Mangalorean",Kalyan Nagar,Kammanahalli,Average Rated
Kentacky Chicken Corner,Quick Bites,4.0,102,300,No,No,"Andhra, South Indian",Brigade Road,Richmond Road,High Rated
Kentaky Fast Food,Quick Bites,3.2,46,350,No,No,"North Indian, Chinese, Seafood",Rajajinagar,Basaveshwara Nagar,Average Rated
Kenz Karam,"Takeaway, Delivery",3.5,10,300,Yes,No,"Desserts, Beverages",Brigade Road,Frazer Town,Average Rated
Kerala Cafe,Quick Bites,3.2,4,300,No,No,"Kerala, South Indian, North Indian",Marathahalli,Kaggadasapura,Average Rated
Kerala Food,Quick Bites,2.8,40,200,No,No,"South Indian, Chinese, North Indian",Church Street,Vasanth Nagar,Low Rated
Kerala Foods,Quick Bites,3.5,10,250,No,No,Kerala,Church Street,Vasanth Nagar,Average Rated
Kerala Kitchen,Quick Bites,3.1,32,200,No,No,"Kerala, South Indian",Lavelle Road,Brigade Road,Average Rated
Kerala Mess,Mess,2.9,40,300,Yes,No,"Chinese, Kerala, North Indian",Kalyan Nagar,Nagawara,Low Rated
Kerala Mess Upahar,Mess,3.7,123,300,Yes,No,"Kerala, Biryani, South Indian",Bellandur,Bellandur,Average Rated
Kerala Mess. Siji'S Mess,Mess,2.8,40,100,No,No,Kerala,Koramangala 4Th Block,Ejipura,Low Rated
Kerala Panoor Restaurant,Quick Bites,3.5,137,350,Yes,No,"Kerala, Seafood, Biryani, South Indian",Bellandur,Bellandur,Average Rated
Kerala Pavilion,Quick Bites,3.8,305,300,Yes,No,"Kerala, South Indian, Seafood, Biryani",Koramangala 5Th Block,Domlur,Average Rated
Kerala Restaurant,Quick Bites,3.4,66,450,Yes,No,"Kerala, Biryani",Brookefield,Whitefield,Average Rated
Kerala Tiffin,Delivery,3.9,162,300,Yes,No,Kerala,Brookefield,Whitefield,Average Rated
Kerala Vibes,Casual Dining,3.6,80,500,No,No,Kerala,Indiranagar,Jeevan Bhima Nagar,Average Rated
Kesar Rajasthani Parotha Point,Quick Bites,3.9,34,200,Yes,No,"North Indian, Rajasthani",Basavanagudi,Basavanagudi,Average Rated
Kesar Restaurant,Quick Bites,3.6,48,200,Yes,No,"North Indian, Chinese, South Indian",Bannerghatta Road,Jp Nagar,Average Rated
Kesar Sweet Shop And Fast Food,Quick Bites,3.9,47,500,No,No,"North Indian, South Indian, Chinese, Street Food, Mithai",Kalyan Nagar,Kalyan Nagar,Average Rated
Kesariya,Casual Dining,4.2,174,1200,No,Yes,Rajasthani,Malleshwaram,Sadashiv Nagar,High Rated
Keshava Kabab Centre,Quick Bites,3.2,7,200,No,No,North Indian,Jayanagar,Jp Nagar,Average Rated
Keto Kitchen,Casual Dining,3.1,18,500,Yes,No,Healthy Food,Indiranagar,Indiranagar,Average Rated
Kettle & Kegs,Delivery,2.9,9,200,Yes,No,"Tea, Beverages",Kalyan Nagar,Kammanahalli,Low Rated
Kettle On,Quick Bites,3.7,110,400,Yes,No,"Fast Food, Sandwich, Beverages",Electronic City,Electronic City,Average Rated
Ketty'S Corner,Quick Bites,3.3,4,200,No,No,"Fast Food, Street Food, Beverages",New Bel Road,New Bel Road,Average Rated
Keventers,"Beverage Shop, Dessert Parlor",3.0,14,400,No,No,"Desserts, Beverages, Ice Cream",Brigade Road,Brigade Road,Average Rated
Kevins Kitchen,Quick Bites,3.7,103,400,Yes,No,"North Indian, Chinese, Biryani","Byresandra,Tavarekere,Madiwala",Koramangala 6Th Block,Average Rated
Keys Cafe - Keys Hotel,Casual Dining,3.8,115,1200,No,No,"Chinese, Continental, North Indian",Electronic City,Electronic City,Average Rated
Kfc,Food Court,2.8,246,400,Yes,No,"Burger, Fast Food",Brookefield,"Itpl Main Road, Whitefield",Low Rated
Kf'S Biryani'S And Kababs,Quick Bites,3.4,17,400,Yes,No,"Biryani, Kebab","Byresandra,Tavarekere,Madiwala",Koramangala 4Th Block,Average Rated
Khai Khai,Quick Bites,3.9,50,450,Yes,No,Bengali,"Byresandra,Tavarekere,Madiwala",Hsr,Average Rated
Khaja Point,Quick Bites,2.8,40,300,No,No,"North Indian, Chinese, Biryani","Byresandra,Tavarekere,Madiwala",Btm,Low Rated
Khan Saab Hotel,Quick Bites,3.1,16,300,Yes,No,"North Indian, Biryani, Chinese","Byresandra,Tavarekere,Madiwala",Bommanahalli,Average Rated
Khan Saheb Grills And Rolls,"Food Court, Quick Bites",2.6,24,400,Yes,No,"Fast Food, Rolls",Malleshwaram,Malleshwaram,Low Rated
Khana Khazana,Delivery,3.7,22,400,Yes,No,North Indian,Bannerghatta Road,Bannerghatta Road,Average Rated
Khane Ka Khazana,Quick Bites,3.5,17,250,Yes,No,North Indian,Brookefield,"Itpl Main Road, Whitefield",Average Rated
Khan'S Biryani,Quick Bites,3.0,11,200,Yes,No,"Biryani, North Indian",Jayanagar,Btm,Average Rated
Khatta Meetha Teekha,Quick Bites,4.2,189,300,Yes,No,"Street Food, North Indian, Mithai, Chinese, Beverages","Byresandra,Tavarekere,Madiwala",Koramangala 6Th Block,High Rated
Khawa Karpo,Quick Bites,4.3,988,350,No,No,"Chinese, Tibetan, Momos","Byresandra,Tavarekere,Madiwala",Koramangala 5Th Block,High Rated
Khazana Food Paradise,Quick Bites,4.1,356,400,No,No,"North Indian, Biryani",Brigade Road,Richmond Road,High Rated
Kheer Kadamb - Bengali Sweets And Snacks,"Sweet Shop, Quick Bites",2.8,40,300,No,No,"Mithai, Street Food",Brookefield,Whitefield,Low Rated
Khichadiwala,"Takeaway, Delivery",3.9,15,400,Yes,No,North Indian,"Byresandra,Tavarekere,Madiwala",Hsr,Average Rated
Khiche Chale Aao,Quick Bites,2.8,40,300,Yes,No,"North Indian, Fast Food",Koramangala 4Th Block,Koramangala 6Th Block,Low Rated
Kholi Mane,Quick Bites,3.6,46,450,No,No,"Andhra, South Indian, Biryani, North Indian",Banashankari,Basavanagudi,Average Rated
Khopcha,Takeaway,4.0,154,200,Yes,No,"Fast Food, Rolls, Kebab",New Bel Road,Sahakara Nagar,High Rated
Khushi Kitchen,Quick Bites,3.3,69,400,Yes,No,"Street Food, North Indian, Bengali, Oriya",Indiranagar,Thippasandra,Average Rated
Khyma Biryani,Casual Dining,3.9,240,600,Yes,No,Biryani,Kalyan Nagar,Kalyan Nagar,Average Rated
Kia'S Kitchen,Delivery,3.5,12,600,Yes,No,"North Indian, Chinese",Hsr,Hsr,Average Rated
Kichukkhon,Quick Bites,2.9,48,250,No,No,"Bengali, Oriya",Marathahalli,Marathahalli,Low Rated
Kick Out The Jams,Delivery,4.0,528,350,Yes,No,"Burger, American, Italian",Brigade Road,Ejipura,High Rated
Kickin Burger,Quick Bites,3.1,22,400,Yes,No,Fast Food,Basavanagudi,Jayanagar,Average Rated
Kidambi'S Kitchen,Quick Bites,3.4,52,300,No,No,South Indian,Jayanagar,Banashankari,Average Rated
Kidilum,Casual Dining,3.6,32,450,Yes,No,"North Indian, Chinese, Kerala",Bellandur,Marathahalli,Average Rated
Kijiji - Chal Yaha Khate Hai,Quick Bites,3.7,306,400,Yes,No,"North Indian, Gujarati, Street Food",Kalyan Nagar,Nagawara,Average Rated
Kiko,"Takeaway, Delivery",3.4,10,500,Yes,No,"Salad, Chinese",Kalyan Nagar,Kammanahalli,Average Rated
Kim Lee Restaurant,Casual Dining,3.8,149,700,Yes,No,Chinese,Malleshwaram,Rajajinagar,Average Rated
Kinara Family Restaurant,Casual Dining,3.5,11,600,No,No,"South Indian, North Indian, Chinese",Electronic City,Electronic City,Average Rated
Kinara Tiffany,Quick Bites,3.6,15,100,No,No,South Indian,Church Street,Vasanth Nagar,Average Rated
King,Quick Bites,3.7,570,300,Yes,No,"North Indian, Chinese",Electronic City,Electronic City,Average Rated
King Burger Cafeteria,Quick Bites,3.1,11,250,No,No,"Fast Food, Juices",Indiranagar,Indiranagar,Average Rated
King Kong,Quick Bites,3.8,63,300,No,No,"Chinese, Momos",Frazer Town,Frazer Town,Average Rated
King Of Spices,Casual Dining,3.7,25,500,Yes,No,"South Indian, North Indian, Chinese, Biryani, Beverages",Brookefield,Whitefield,Average Rated
King Punjabi Restaurant,Quick Bites,3.8,52,300,No,No,North Indian,"Byresandra,Tavarekere,Madiwala",Btm,Average Rated
Kingley Grand,Casual Dining,3.5,11,600,Yes,No,"Biryani, North Indian, Chinese",Brookefield,Marathahalli,Average Rated
King'S Appetite,"Food Court, Quick Bites",3.7,45,500,Yes,No,"North Indian, Chinese",Electronic City,Electronic City,Average Rated
Kings Court,Casual Dining,3.1,12,800,Yes,No,"North Indian, Mughlai, Chinese",Kalyan Nagar,Kalyan Nagar,Average Rated
Kings Kitchen,Delivery,3.3,7,500,Yes,No,"Biryani, North Indian","Byresandra,Tavarekere,Madiwala",Koramangala 1St Block,Average Rated
Kinpeetos,Quick Bites,3.9,64,300,Yes,No,"Lebanese, Greek","Byresandra,Tavarekere,Madiwala",Koramangala 5Th Block,Average Rated
Kirthi'S Biryani,Cafe,3.8,144,700,Yes,No,"Chinese, Cafe, Italian",Banashankari,Banashankari,Average Rated
Kishi'S Cafe,Quick Bites,3.5,14,500,Yes,No,"Fast Food, Street Food",New Bel Road,Sahakara Nagar,Average Rated
Kisna Cafe,Quick Bites,3.5,11,300,Yes,No,"South Indian, North Indian",Indiranagar,Old Airport Road,Average Rated
Kitchen Aroma,Takeaway,3.4,7,400,No,No,Desserts,Brookefield,Whitefield,Average Rated
Kitchen Boy,"Takeaway, Delivery",2.8,40,300,No,No,"North Indian, Fast Food",Sarjapur Road,Sarjapur Road,Low Rated
Kitchen Garden,Quick Bites,3.6,244,300,Yes,No,"North Indian, Chinese",Banashankari,Kumaraswamy Layout,Average Rated
Kitchen Katta,Quick Bites,4.1,196,300,Yes,No,Maharashtrian,Malleshwaram,Sanjay Nagar,High Rated
Kitchen King,Quick Bites,3.8,306,400,Yes,No,"Rolls, Fast Food, Biryani",Kalyan Nagar,Nagawara,Average Rated
Kitchen King Naati Style,Casual Dining,3.8,27,500,Yes,No,South Indian,Malleshwaram,Rajajinagar,Average Rated
Kitchen Of Joy,Casual Dining,3.8,210,500,No,No,"Bengali, North Indian, Chinese, Rolls",Marathahalli,Kaggadasapura,Average Rated
Kitchen On Table,Casual Dining,4.0,45,1500,Yes,No,"Japanese, Sushi, Asian",Indiranagar,Brigade Road,High Rated
Kitchen Online,"Takeaway, Delivery",3.3,6,300,No,No,North Indian,Brookefield,Whitefield,Average Rated
Kitchen Rabbit,Quick Bites,3.6,18,500,Yes,No,"North Indian, Chinese, Andhra",Brookefield,Whitefield,Average Rated
Kitchen24,Takeaway,2.8,40,300,Yes,No,"Italian, Continental, Chinese, Thai, American, Arabian",Bannerghatta Road,Btm,Low Rated
Kitchens Of Chettinad,Quick Bites,2.8,40,250,Yes,No,South Indian,Brookefield,Whitefield,Low Rated
Kitchen'S Sea Food Restaurant,"Takeaway, Delivery",3.4,9,800,No,No,"Seafood, North Indian, Chinese",Koramangala 4Th Block,Koramangala 8Th Block,Average Rated
Kitchens@Btm,"Takeaway, Delivery",3.9,224,400,Yes,No,"Biryani, Kerala, Mughlai, Street Food, North Indian, Chinese, South Indian, Andhra","Byresandra,Tavarekere,Madiwala",Btm,Average Rated
Kitchens@Electronic City,"Takeaway, Delivery",2.8,40,600,Yes,No,"Italian, Chinese, Continental, North Indian",Electronic City,Electronic City,Low Rated
Kitchens@Hsr,"Takeaway, Delivery",3.1,247,200,Yes,No,"Biryani, Kerala, Mughlai, Street Food, North Indian, Chinese, South Indian, Andhra",Hsr,Hsr,Average Rated
Kitchens@Jp Nagar,"Takeaway, Delivery",3.9,488,400,Yes,No,"Biryani, Kerala, Mughlai, Street Food, North Indian, Chinese, South Indian, Andhra",Bannerghatta Road,Jp Nagar,Average Rated
Kitchens@Mahadevpura,Delivery,3.9,125,600,Yes,No,"Italian, North Indian, South Indian, Chinese",Whitefield,Whitefield,Average Rated
Kitchens@Whitefield,"Takeaway, Delivery",3.4,215,400,Yes,No,"Biryani, Kerala, Mughlai, Street Food, North Indian, Chinese, South Indian, Andhra",Brookefield,"Varthur Main Road, Whitefield",Average Rated
Kittu'S,Casual Dining,4.2,800,750,Yes,Yes,North Indian,Electronic City,Electronic City,High Rated
Kittyko,"Bar, Lounge",4.1,179,3000,No,No,"Finger Food, Continental",Malleshwaram,Seshadripuram,High Rated
Kitty'S Cafe,Quick Bites,3.6,43,300,Yes,No,Fast Food,Malleshwaram,New Bel Road,Average Rated
Kkr Foodies,Casual Dining,3.7,37,400,Yes,No,"Biryani, Chinese, Fast Food, North Indian","Byresandra,Tavarekere,Madiwala",Btm,Average Rated
Kl-58 Thalassery Cafe,Quick Bites,3.5,14,200,No,No,Kerala,New Bel Road,New Bel Road,Average Rated
Klinx - Hilton Bangalore Embassy Golflinks,Bar,4.2,209,2000,No,Yes,"European, Asian",Koramangala 4Th Block,Domlur,High Rated
Kloudish Kitchen,Delivery,3.5,15,250,Yes,No,"North Indian, South Indian",Kalyan Nagar,Hennur,Average Rated
Knight Riders,Bar,2.4,25,1000,No,No,"Chinese, European",Indiranagar,Domlur,Low Rated
Knight Ryders,Delivery,3.4,239,400,Yes,No,"North Indian, Chinese","Byresandra,Tavarekere,Madiwala",Btm,Average Rated
Knowhere,Bar,3.8,52,1300,No,No,"Continental, Finger Food",Frazer Town,Banaswadi,Average Rated
Kobe Sizzlers,Casual Dining,4.0,398,1500,Yes,No,"American, Continental, Fast Food, Steak",Kalyan Nagar,Nagawara,High Rated
Kofabell,Casual Dining,3.2,4,500,No,No,North Indian,Marathahalli,Marathahalli,Average Rated
Koithio Kitchen,Quick Bites,3.3,4,600,No,No,"Chinese, Momos",New Bel Road,New Bel Road,Average Rated
Kokomo,Delivery,4.0,193,500,Yes,No,"Thai, Chinese","Byresandra,Tavarekere,Madiwala",Koramangala 6Th Block,High Rated
Kolbeh,Quick Bites,3.7,22,500,No,No,Fast Food,Banashankari,Banashankari,Average Rated
Kolkata Biriyani,Delivery,3.9,412,300,No,No,"Biryani, Bengali",Marathahalli,Marathahalli,Average Rated
Kolkata Biryani Center,Quick Bites,3.8,40,250,Yes,No,Biryani,Whitefield,Whitefield,Average Rated
Kolkata Famous Kathi Rolls,Quick Bites,3.5,14,200,Yes,No,"Fast Food, Rolls",Electronic City,Electronic City,Average Rated
Kolkata Famous Kati Roll,Kiosk,3.3,7,100,No,No,"Fast Food, Rolls",Sarjapur Road,Bellandur,Average Rated
Kolkata Famous Kati Rolls,Kiosk,3.1,4,200,Yes,No,"Fast Food, Rolls",Kalyan Nagar,Banaswadi,Average Rated
Kolkata Famous Katti Rolls,Quick Bites,3.4,8,200,Yes,No,"Fast Food, Rolls",Brookefield,Marathahalli,Average Rated
Kolkata Hot Roll,Quick Bites,3.4,4,150,Yes,No,Rolls,New Bel Road,New Bel Road,Average Rated
Kolkata Kathi Rolls,Quick Bites,3.8,23,150,Yes,No,Rolls,Bannerghatta Road,Jp Nagar,Average Rated
Kolkata Kathi Roll'S,Quick Bites,3.6,18,250,Yes,No,"Fast Food, Rolls",Banashankari,Banashankari,Average Rated
Kolkata Kati Roll,Quick Bites,3.4,14,150,Yes,No,Rolls,New Bel Road,Sahakara Nagar,Average Rated
Kolkata Kati Rolls,Kiosk,2.9,17,200,No,No,"Fast Food, Rolls",Jp Nagar,Jayanagar,Low Rated
Kolkata King,Quick Bites,3.4,6,300,Yes,No,"Fast Food, Rolls",Banashankari,Basavanagudi,Average Rated
Kolkata Kitchen,Quick Bites,3.2,231,400,Yes,No,"North Indian, Fast Food, Biryani",Electronic City,Electronic City,Average Rated
Kolkata Refreshments,Quick Bites,3.0,14,200,No,No,"Bengali, Fast Food",New Bel Road,Sanjay Nagar,Average Rated
Kolkata Restaurant,Quick Bites,3.0,7,300,No,No,"Bengali, North Indian, Chinese",Basavanagudi,Jayanagar,Average Rated
Kolkata Roll & Fast Food,Quick Bites,3.6,15,250,No,No,Fast Food,Hsr,Hsr,Average Rated
Kolkata Roll House,Quick Bites,3.3,6,200,No,No,"Fast Food, Rolls",Brookefield,Marathahalli,Average Rated
Kolkata Rolls & Chowmein,Quick Bites,3.5,35,100,Yes,No,Rolls,Kalyan Nagar,Banaswadi,Average Rated
Kolkata Rolls & Fast Food,Quick Bites,3.6,52,200,Yes,No,"Rolls, Fast Food",Sarjapur Road,Hsr,Average Rated
Kolkata Rolls & Hot Dum Biriyani On Dial,Quick Bites,3.5,22,200,Yes,No,"Fast Food, Rolls",Old Airport Road,Indiranagar,Average Rated
Kolkata Spicy Restaurant,Quick Bites,2.8,11,300,Yes,No,Bengali,Marathahalli,Marathahalli,Low Rated
Kolkatta Famous Chat,Quick Bites,3.7,22,100,Yes,No,"Street Food, North Indian",Indiranagar,Indiranagar,Average Rated
Kolkatta Famous Kati Rolls,Quick Bites,3.2,15,200,No,No,"Chinese, Rolls",Indiranagar,Old Airport Road,Average Rated
Kollapuri'S,Casual Dining,3.6,135,600,No,No,Maharashtrian,Jayanagar,Jayanagar,Average Rated
Komala Refreshments,Quick Bites,4.0,102,150,No,No,South Indian,Frazer Town,Frazer Town,High Rated
Kombo King,Delivery,3.5,40,300,No,No,"North Indian, South Indian",Koramangala 6Th Block,Koramangala 4Th Block,Average Rated
Konark Restaurant,Quick Bites,3.1,91,200,Yes,No,"North Indian, South Indian",Marathahalli,Marathahalli,Average Rated
Konark Vegetarian Restaurant,Casual Dining,3.9,155,600,No,No,"North Indian, Chinese, Continental, South Indian",Brigade Road,Lavelle Road,Average Rated
Konaseema Grand,Casual Dining,3.2,379,1000,Yes,No,"North Indian, Mughlai, Andhra, Biryani",Brookefield,Whitefield,Average Rated
Konaseema Kitchen,Casual Dining,3.8,571,600,Yes,Yes,"North Indian, Biryani, Andhra, South Indian",Bellandur,Marathahalli,Average Rated
Konfection Konnection,"Takeaway, Delivery",3.6,13,600,No,No,Desserts,Frazer Town,Frazer Town,Average Rated
Kool Joint,"Dessert Parlor, Quick Bites",3.4,8,200,Yes,No,"Ice Cream, Juices, Fast Food",Malleshwaram,Basaveshwara Nagar,Average Rated
Kopper Kadai,Casual Dining,4.1,1697,1200,No,No,"North Indian, Chinese",Koramangala 7Th Block,Koramangala 5Th Block,High Rated
Kor Cafe,Quick Bites,3.8,36,300,Yes,No,Kerala,"Byresandra,Tavarekere,Madiwala",Koramangala 1St Block,Average Rated
Koramangala Social,Lounge,4.6,4650,1500,Yes,No,"American, North Indian, Chinese, Finger Food","Byresandra,Tavarekere,Madiwala",Koramangala 7Th Block,High Rated
Koshe Kosha,Casual Dining,4.0,571,600,Yes,No,"Bengali, Seafood","Byresandra,Tavarekere,Madiwala",Koramangala 1St Block,High Rated
Koshy'S,"Bakery, Quick Bites",3.6,52,300,No,No,"Bakery, Fast Food",Brigade Road,Richmond Road,Average Rated
Kota Kachori,Quick Bites,4.3,3605,400,Yes,No,"Street Food, Desserts, North Indian, Mithai, Rajasthani","Byresandra,Tavarekere,Madiwala",Koramangala 6Th Block,High Rated
Kotae Garden,Casual Dining,3.1,9,450,No,No,"North Indian, Chinese, Andhra",Electronic City,Electronic City,Average Rated
Kotian Karavali Restaurant,Quick Bites,3.5,10,300,No,No,"South Indian, Biryani",Banashankari,Banashankari,Average Rated
Koylas,Quick Bites,3.0,9,400,Yes,No,"Kebab, Mughlai, Biryani",Brookefield,Brookefield,Average Rated
Krazy Factory,Cafe,4.0,431,400,No,No,"Cafe, Continental, Chinese","Byresandra,Tavarekere,Madiwala",Koramangala 5Th Block,High Rated
Krazzy Folds,Cafe,4.2,1901,800,Yes,Yes,"Cafe, Continental, Sandwich, Beverages",Basavanagudi,Jayanagar,High Rated
Krem,Dessert Parlor,4.1,61,450,Yes,No,"Desserts, Ice Cream, Beverages, Sandwich","Byresandra,Tavarekere,Madiwala",Koramangala 5Th Block,High Rated
Kreme Delight,Bakery,3.4,20,300,Yes,No,"Bakery, Desserts",Brookefield,Whitefield,Average Rated
Krish Punjabi Kitchen,Quick Bites,3.6,17,500,No,No,North Indian,Indiranagar,Thippasandra,Average Rated
Krishna Grand,Quick Bites,3.2,42,200,Yes,No,South Indian,"Byresandra,Tavarekere,Madiwala",Hsr,Average Rated
Krishna Kuteera,Quick Bites,4.0,396,400,Yes,No,"South Indian, North Indian, Chinese",Bannerghatta Road,Bannerghatta Road,High Rated
Krishna Kuteera South,Casual Dining,4.0,117,500,Yes,No,"South Indian, North Indian, Chinese",Bannerghatta Road,Bannerghatta Road,High Rated
Krishna Leela Grand,Quick Bites,2.8,40,200,No,No,"South Indian, North Indian, Chinese",Kalyan Nagar,Hennur,Low Rated
Krishna Sagar,Quick Bites,3.5,31,200,No,No,North Indian,Banashankari,Banashankari,Average Rated
Krishna Vaibhava,Casual Dining,3.5,40,350,Yes,No,"North Indian, South Indian",Bannerghatta Road,Btm,Average Rated
Krishna Vijayashree,Casual Dining,3.5,13,700,Yes,No,"Biryani, North Indian, Chinese",Bannerghatta Road,Bannerghatta Road,Average Rated
Krispy Kreme,Dessert Parlor,3.4,10,300,Yes,No,"Desserts, Beverages",Koramangala 6Th Block,Koramangala 6Th Block,Average Rated
Kriti Dugar,Dessert Parlor,3.4,5,200,No,No,Desserts,Bellandur,Marathahalli,Average Rated
Kritunga Restaurant,Casual Dining,2.6,330,600,No,No,"Andhra, Biryani",Bellandur,Sarjapur Road,Low Rated
